income,hrs_work,race,age,gender,citizen,time_to_work,lang,married,edu,disability,birth_qrtr
1700,40,other,35,female,yes,15,other,yes,hs or lower,yes,jul thru sep
45000,84,white,27,male,yes,40,english,yes,hs or lower,no,oct thru dec
8600,23,white,69,female,yes,5,english,no,hs or lower,no,jul thru sep
33500,55,white,52,male,yes,20,english,yes,hs or lower,no,apr thru jun
4000,8,white,67,female,yes,10,english,yes,hs or lower,no,apr thru jun
19000,35,white,36,female,yes,15,english,yes,college,no,jul thru sep
140000,40,white,35,female,no,30,other,no,hs or lower,no,jan thru mar
0,8,white,31,female,yes,20,other,no,college,no,jul thru sep
12000,23,asian,32,female,yes,45,other,no,hs or lower,no,apr thru jun
45000,72,black,35,male,yes,25,other,yes,hs or lower,no,oct thru dec
150000,40,white,51,male,yes,10,english,yes,college,no,oct thru dec
70000,50,black,50,male,yes,40,english,yes,college,no,jan thru mar
12000,35,asian,20,female,yes,10,other,no,hs or lower,no,jan thru mar
24500,40,white,61,male,yes,10,english,yes,hs or lower,no,jul thru sep
45000,40,white,61,female,yes,10,english,no,college,no,jan thru mar
70000,35,white,43,female,yes,10,english,yes,college,no,jul thru sep
35000,40,white,27,male,yes,20,english,yes,hs or lower,no,jan thru mar
31000,40,white,32,female,yes,35,english,yes,hs or lower,no,oct thru dec
19000,70,white,28,male,yes,3,other,yes,hs or lower,no,jan thru mar
50000,45,asian,48,male,yes,40,english,yes,grad,no,jul thru sep
85000,50,white,33,male,yes,65,english,yes,college,no,jan thru mar
100000,40,white,27,male,yes,45,english,yes,college,no,jan thru mar
49000,55,white,32,male,yes,10,english,yes,grad,no,apr thru jun
9600,24,white,33,female,yes,5,english,no,hs or lower,no,jan thru mar
333000,55,white,75,male,yes,15,english,no,grad,yes,apr thru jun
70000,50,white,37,male,yes,30,english,yes,college,no,jan thru mar
15000,20,white,64,female,yes,15,english,yes,grad,no,oct thru dec
6500,10,white,22,male,yes,15,english,yes,hs or lower,no,jul thru sep
60000,40,black,50,male,yes,25,english,yes,hs or lower,no,jan thru mar
33000,45,white,28,female,yes,45,english,no,college,no,jan thru mar
60000,50,white,56,male,yes,3,english,yes,hs or lower,no,jul thru sep
31000,38,white,62,female,yes,30,english,yes,hs or lower,yes,jul thru sep
35000,40,white,50,female,yes,30,other,yes,hs or lower,no,oct thru dec
18000,50,asian,50,male,no,99,other,yes,hs or lower,no,jan thru mar
0,50,white,46,female,yes,2,english,yes,grad,no,jul thru sep
10800,29,white,41,female,yes,20,english,yes,college,no,oct thru dec
2000,10,white,16,male,yes,5,english,no,hs or lower,no,oct thru dec
32000,45,white,53,male,yes,15,english,yes,hs or lower,no,apr thru jun
60000,40,white,48,male,yes,25,english,yes,hs or lower,no,apr thru jun
9000,42,white,48,female,yes,20,english,no,hs or lower,no,apr thru jun
12800,25,white,22,male,yes,15,english,no,college,no,jul thru sep
1200,5,white,25,male,yes,30,english,yes,college,no,jan thru mar
33000,40,white,49,male,yes,15,english,yes,grad,yes,jan thru mar
24000,40,white,35,female,yes,20,english,yes,hs or lower,no,jul thru sep
32000,40,white,33,female,yes,10,english,yes,college,no,jan thru mar
168000,60,white,51,male,yes,30,english,yes,college,no,jul thru sep
4400,20,black,18,male,yes,5,english,no,hs or lower,no,apr thru jun
10000,18,white,36,female,yes,5,other,yes,hs or lower,no,apr thru jun
22800,35,white,26,female,yes,15,english,no,college,no,jan thru mar
34000,40,other,60,female,no,10,english,no,hs or lower,no,apr thru jun
5000,20,asian,21,male,yes,30,english,no,hs or lower,no,oct thru dec
16800,40,white,25,male,yes,30,english,no,hs or lower,no,jan thru mar
25000,40,white,47,male,yes,5,english,no,hs or lower,no,jul thru sep
143000,35,white,37,female,yes,10,english,yes,grad,no,jul thru sep
20000,40,white,27,male,yes,30,english,no,college,no,jul thru sep
45000,36,white,60,female,yes,45,english,no,hs or lower,no,jan thru mar
600,15,other,17,male,no,10,other,no,hs or lower,no,oct thru dec
23000,40,black,49,female,yes,20,english,no,hs or lower,no,oct thru dec
45000,30,white,45,male,no,2,other,yes,hs or lower,no,jul thru sep
43000,70,white,53,male,yes,20,english,no,hs or lower,yes,jan thru mar
37000,37,white,55,male,yes,5,english,yes,hs or lower,no,oct thru dec
55000,60,white,66,male,yes,50,english,yes,grad,no,jul thru sep
58000,50,white,59,male,yes,45,english,yes,college,yes,jul thru sep
360000,40,white,50,male,yes,5,english,yes,college,no,jan thru mar
127000,40,other,32,female,yes,20,other,yes,grad,no,jan thru mar
197000,50,white,41,male,yes,15,english,yes,college,no,apr thru jun
20000,40,white,27,female,yes,10,english,no,hs or lower,no,jul thru sep
19600,35,white,42,female,yes,5,english,no,college,no,apr thru jun
24400,38,white,66,female,yes,30,other,yes,hs or lower,no,apr thru jun
61000,42,white,35,male,yes,15,english,no,hs or lower,no,apr thru jun
40000,40,white,29,male,yes,60,english,yes,college,no,oct thru dec
6400,40,white,29,male,yes,15,other,no,hs or lower,no,jul thru sep
18000,40,white,21,male,yes,10,english,no,hs or lower,no,jul thru sep
60000,40,other,48,male,yes,45,english,yes,grad,no,jan thru mar
15000,40,white,25,female,yes,45,english,no,hs or lower,no,apr thru jun
155000,45,white,48,male,yes,15,english,yes,college,no,apr thru jun
45000,60,white,45,female,yes,15,english,no,hs or lower,no,jul thru sep
3000,15,white,20,female,yes,10,english,no,hs or lower,no,jul thru sep
3000,22,other,19,female,yes,20,english,no,hs or lower,no,apr thru jun
14400,40,white,33,male,yes,20,english,no,hs or lower,no,jul thru sep
23000,40,asian,34,male,yes,50,other,yes,hs or lower,no,jan thru mar
90000,50,asian,30,male,yes,45,other,no,grad,no,apr thru jun
16000,40,black,42,female,yes,8,english,no,hs or lower,no,jan thru mar
100000,40,white,40,male,yes,142,other,yes,college,no,jul thru sep
114000,40,white,50,female,yes,25,other,yes,grad,no,jul thru sep
60000,40,white,39,male,yes,20,english,yes,grad,no,apr thru jun
323000,45,white,43,female,yes,10,english,no,grad,no,oct thru dec
40000,40,white,52,male,yes,40,english,yes,hs or lower,no,jul thru sep
6000,30,white,34,female,yes,12,english,yes,college,no,oct thru dec
54000,48,white,42,male,yes,25,english,yes,college,no,jan thru mar
85000,40,white,42,female,yes,15,other,yes,grad,no,jan thru mar
1900,25,white,37,female,yes,10,other,yes,college,no,oct thru dec
55000,60,white,26,female,yes,20,other,no,college,no,apr thru jun
398000,40,asian,51,male,yes,15,other,yes,grad,no,jul thru sep
35000,40,white,43,male,yes,15,english,no,hs or lower,no,apr thru jun
52000,48,white,61,male,yes,15,english,no,hs or lower,no,jul thru sep
38000,45,white,68,female,yes,20,english,yes,hs or lower,no,oct thru dec
33500,40,white,29,male,yes,45,english,yes,hs or lower,no,apr thru jun
43000,40,asian,47,female,yes,10,other,yes,hs or lower,no,jul thru sep
333000,50,white,37,male,yes,10,english,yes,grad,no,jan thru mar
34700,40,white,59,female,yes,30,english,no,hs or lower,no,apr thru jun
15000,25,white,36,female,yes,15,english,yes,hs or lower,no,apr thru jun
40000,40,white,51,male,yes,30,english,no,hs or lower,no,jan thru mar
0,40,other,62,female,yes,10,other,no,hs or lower,no,apr thru jun
360000,50,white,52,male,yes,40,english,yes,hs or lower,no,apr thru jun
89000,55,white,43,male,yes,40,english,yes,hs or lower,no,jan thru mar
40000,40,white,50,male,yes,3,english,no,college,no,jul thru sep
14000,13,white,53,female,yes,15,english,no,college,yes,oct thru dec
4200,8,white,17,male,yes,8,english,no,hs or lower,no,jan thru mar
29000,36,white,65,male,yes,20,english,yes,college,yes,jul thru sep
70000,65,white,29,male,yes,20,other,yes,college,no,jul thru sep
40000,40,white,56,male,yes,25,other,yes,college,no,oct thru dec
6000,8,white,31,male,yes,5,english,yes,hs or lower,no,jul thru sep
65000,40,white,63,male,yes,60,english,yes,college,yes,jan thru mar
7500,55,white,46,female,yes,5,english,yes,hs or lower,no,apr thru jun
340000,40,asian,40,male,no,40,other,no,grad,no,oct thru dec
46000,40,white,27,female,yes,25,english,yes,grad,no,jul thru sep
0,50,white,63,male,yes,45,english,yes,grad,no,jul thru sep
39000,35,white,63,female,yes,45,english,yes,college,no,jan thru mar
4000,30,white,36,male,yes,30,english,no,college,no,oct thru dec
50000,70,white,46,male,yes,148,english,yes,hs or lower,no,apr thru jun
17000,40,white,19,male,yes,15,english,no,hs or lower,no,apr thru jun
24000,40,other,51,male,yes,4,english,yes,hs or lower,no,oct thru dec
85000,40,white,51,female,yes,15,english,yes,college,no,apr thru jun
124000,46,white,48,male,yes,20,english,no,grad,no,jan thru mar
34000,50,white,40,male,yes,35,english,no,college,no,jan thru mar
42000,40,other,33,male,yes,20,english,no,hs or lower,no,apr thru jun
60000,40,white,46,male,yes,25,english,yes,hs or lower,no,jul thru sep
50000,40,white,31,female,yes,30,english,yes,college,no,jul thru sep
19200,50,other,23,male,no,30,other,no,hs or lower,no,jul thru sep
27000,40,asian,35,male,yes,30,other,yes,hs or lower,no,jul thru sep
25000,40,white,47,female,yes,45,english,yes,hs or lower,no,oct thru dec
19600,18,white,59,female,yes,10,english,no,college,no,oct thru dec
12000,30,white,55,female,yes,25,english,yes,hs or lower,no,jul thru sep
100000,40,white,61,male,yes,15,english,yes,grad,no,jan thru mar
48000,40,white,28,female,yes,40,english,no,college,no,jul thru sep
19000,37,white,31,female,yes,20,english,yes,hs or lower,no,oct thru dec
25000,45,white,61,male,yes,75,english,yes,hs or lower,yes,apr thru jun
35000,40,white,40,female,yes,60,english,no,college,no,jan thru mar
175000,65,white,43,male,yes,35,english,no,hs or lower,no,apr thru jun
0,52,white,55,female,yes,15,english,yes,college,no,apr thru jun
50000,40,white,66,male,yes,9,english,no,hs or lower,no,oct thru dec
30000,40,white,58,male,yes,20,english,yes,hs or lower,no,jan thru mar
10000,40,white,20,male,yes,20,english,yes,hs or lower,yes,oct thru dec
24000,30,white,69,female,yes,20,english,yes,hs or lower,no,jul thru sep
60000,68,white,20,male,yes,30,english,no,hs or lower,no,jul thru sep
150000,42,other,46,male,yes,40,english,no,hs or lower,no,apr thru jun
4800,25,white,21,male,no,5,english,no,hs or lower,no,jul thru sep
50000,40,asian,64,male,yes,30,other,yes,college,no,jan thru mar
108000,45,white,61,male,yes,20,english,yes,college,no,jul thru sep
27900,40,white,57,female,yes,10,other,yes,hs or lower,no,jan thru mar
43000,40,white,37,male,yes,25,english,yes,hs or lower,no,oct thru dec
4300,20,white,26,male,yes,20,english,no,hs or lower,no,oct thru dec
26000,50,white,53,male,yes,15,english,yes,hs or lower,no,jan thru mar
30000,40,white,28,female,yes,10,english,no,college,no,jan thru mar
80000,50,white,33,female,yes,45,english,yes,grad,no,jul thru sep
16000,30,white,20,female,yes,5,english,no,hs or lower,no,jan thru mar
189000,50,white,53,male,yes,30,english,yes,grad,no,jan thru mar
37000,45,white,64,male,yes,20,english,yes,hs or lower,no,oct thru dec
109000,40,white,65,male,yes,20,other,no,hs or lower,yes,jan thru mar
2000,25,white,19,male,yes,5,english,no,hs or lower,no,jan thru mar
29600,37,white,54,female,yes,40,english,yes,college,no,apr thru jun
2000,30,white,26,female,yes,60,other,no,hs or lower,no,jul thru sep
11000,20,white,63,female,yes,10,english,yes,hs or lower,no,oct thru dec
12000,40,white,65,female,yes,60,english,no,hs or lower,no,jan thru mar
15000,40,white,38,female,yes,20,other,no,hs or lower,no,jan thru mar
450000,55,white,65,male,yes,10,english,yes,grad,no,jan thru mar
8000,20,white,33,male,yes,30,english,no,hs or lower,no,apr thru jun
18000,49,black,43,female,yes,5,english,yes,hs or lower,no,apr thru jun
0,30,black,37,female,yes,75,english,no,hs or lower,yes,oct thru dec
18000,30,white,25,female,yes,15,english,no,college,no,apr thru jun
27000,40,white,42,female,yes,20,english,yes,hs or lower,no,apr thru jun
12000,24,white,26,female,yes,20,other,no,hs or lower,no,jul thru sep
41000,40,white,38,female,yes,30,english,yes,college,no,jan thru mar
90000,40,white,38,male,yes,10,english,yes,college,no,jul thru sep
60000,45,white,49,male,yes,20,other,no,hs or lower,no,jul thru sep
30000,40,white,35,female,no,40,other,no,college,no,oct thru dec
10000,40,white,23,female,yes,10,english,no,hs or lower,no,jul thru sep
50000,80,white,48,female,yes,7,english,yes,college,no,oct thru dec
24000,40,white,30,female,yes,15,english,yes,hs or lower,no,apr thru jun
88000,40,white,27,male,yes,35,english,no,college,no,jan thru mar
18000,40,other,54,female,yes,5,english,yes,hs or lower,no,apr thru jun
15600,40,white,47,female,yes,15,english,yes,hs or lower,no,apr thru jun
12000,30,white,60,female,yes,10,english,yes,hs or lower,no,oct thru dec
30000,60,other,27,female,yes,20,other,no,grad,no,oct thru dec
0,40,white,58,male,yes,15,english,yes,hs or lower,no,apr thru jun
80000,40,asian,51,male,yes,25,other,yes,college,no,jan thru mar
11400,40,white,54,female,yes,3,english,yes,hs or lower,no,jan thru mar
345000,70,white,51,male,yes,60,english,yes,grad,no,jan thru mar
12300,40,white,43,female,yes,60,english,no,hs or lower,no,jan thru mar
75000,45,white,47,male,yes,30,english,yes,hs or lower,no,apr thru jun
22000,40,asian,42,male,yes,25,other,yes,hs or lower,no,apr thru jun
0,35,white,22,female,yes,60,english,no,hs or lower,no,apr thru jun
11000,35,white,22,male,yes,7,english,no,hs or lower,no,jan thru mar
25200,40,white,25,male,yes,5,english,no,hs or lower,no,jul thru sep
1600,15,white,18,female,yes,10,english,no,hs or lower,no,jul thru sep
20000,40,white,49,male,yes,25,english,no,hs or lower,no,oct thru dec
4500,20,white,58,male,yes,5,english,no,hs or lower,no,oct thru dec
5300,40,black,52,female,yes,7,english,no,hs or lower,no,jan thru mar
16800,40,white,67,female,yes,20,english,no,hs or lower,yes,jul thru sep
32000,40,black,50,male,yes,15,english,yes,hs or lower,no,oct thru dec
45000,40,black,57,male,yes,25,english,no,hs or lower,no,jul thru sep
125000,60,white,61,male,yes,45,english,yes,hs or lower,yes,jul thru sep
90000,40,white,62,female,yes,20,english,yes,hs or lower,no,oct thru dec
20000,40,white,28,male,yes,60,other,yes,college,no,jul thru sep
26000,40,white,31,female,yes,5,english,yes,hs or lower,no,oct thru dec
32000,40,black,57,female,yes,10,english,no,hs or lower,no,jan thru mar
39000,40,black,42,male,yes,10,english,yes,hs or lower,no,apr thru jun
52000,40,white,52,male,yes,10,english,yes,hs or lower,no,oct thru dec
40000,40,white,37,male,yes,25,english,yes,hs or lower,no,apr thru jun
44000,40,white,33,female,yes,25,english,yes,college,no,oct thru dec
58000,53,white,32,male,yes,15,english,yes,grad,no,apr thru jun
3500,40,white,34,male,yes,35,english,no,hs or lower,no,oct thru dec
24000,40,white,33,male,yes,15,english,yes,hs or lower,no,oct thru dec
56000,40,black,52,female,yes,20,other,no,grad,no,jan thru mar
80000,40,white,68,male,yes,40,other,yes,college,no,apr thru jun
24300,40,white,60,female,yes,25,english,no,hs or lower,no,oct thru dec
9400,40,white,27,male,yes,60,other,no,hs or lower,no,jul thru sep
15000,70,asian,36,female,yes,5,other,no,hs or lower,no,jan thru mar
18500,40,other,24,male,no,20,other,no,hs or lower,no,apr thru jun
48000,40,white,56,male,yes,45,english,no,college,no,jan thru mar
250000,45,white,57,male,yes,20,english,yes,grad,no,apr thru jun
70000,40,asian,63,female,yes,15,other,yes,college,yes,jan thru mar
2000,12,white,22,female,yes,5,english,no,hs or lower,no,oct thru dec
48000,40,white,56,male,yes,10,english,yes,grad,no,jan thru mar
0,20,white,48,female,yes,15,english,yes,college,no,apr thru jun
18000,40,white,44,male,yes,1,other,no,grad,no,jul thru sep
42000,40,white,38,male,yes,20,english,yes,hs or lower,no,jan thru mar
46100,40,white,58,female,yes,15,english,yes,hs or lower,no,jan thru mar
3000,10,white,24,male,yes,20,english,yes,college,no,apr thru jun
31100,40,black,50,female,no,30,other,yes,hs or lower,no,jul thru sep
42000,40,white,52,female,yes,10,english,yes,hs or lower,no,apr thru jun
30000,55,asian,24,female,yes,40,other,no,college,no,oct thru dec
35000,40,white,33,male,yes,23,other,yes,hs or lower,no,apr thru jun
50000,50,other,45,male,yes,15,english,yes,hs or lower,no,jan thru mar
53000,38,white,28,male,yes,10,english,no,college,no,oct thru dec
1300,5,white,21,female,yes,5,english,no,hs or lower,no,jul thru sep
60000,40,white,48,male,yes,10,english,yes,hs or lower,no,jan thru mar
30000,45,white,28,female,yes,10,english,no,hs or lower,no,jan thru mar
33900,40,white,46,male,yes,45,english,yes,college,yes,oct thru dec
63000,40,white,61,female,yes,15,english,no,college,no,apr thru jun
45000,42,white,31,male,yes,30,english,yes,hs or lower,no,oct thru dec
50000,50,white,29,male,yes,45,other,no,college,no,jul thru sep
62000,40,white,49,male,yes,30,english,yes,hs or lower,no,jul thru sep
65000,43,white,50,male,yes,45,english,yes,hs or lower,no,jan thru mar
15000,30,black,44,female,yes,5,english,no,hs or lower,yes,oct thru dec
13700,37,white,29,male,yes,5,english,no,college,no,apr thru jun
15000,32,white,56,female,yes,15,english,no,hs or lower,no,jan thru mar
1200,25,white,32,female,yes,45,english,yes,hs or lower,no,apr thru jun
35000,30,white,56,female,yes,60,english,yes,grad,no,jan thru mar
50000,40,white,37,male,yes,20,english,no,hs or lower,no,apr thru jun
17000,40,other,33,female,yes,30,english,no,hs or lower,no,oct thru dec
57000,50,white,55,male,yes,60,english,yes,hs or lower,no,apr thru jun
16000,40,white,18,male,no,5,other,no,hs or lower,no,jan thru mar
2500,35,white,24,female,yes,10,other,no,hs or lower,no,oct thru dec
10000,25,white,20,female,yes,10,english,no,hs or lower,no,apr thru jun
79000,40,white,46,female,yes,60,english,no,college,no,apr thru jun
0,8,other,49,female,no,45,other,no,hs or lower,no,jan thru mar
35000,40,white,38,male,yes,45,english,yes,hs or lower,no,apr thru jun
